district,date,hazard,any_flag,max_confidence,n_observations,n_triggered,message_en,message_ur,lat,lon
Abbottabad,20260622,cloud_burst,False,0.2,1,0,STUBBED: nearest available frame pair is 480 min apart (need <=20 min); this archive's cadence is too coarse to evaluate a genuine rate-of-change here. Detector logic is real and will fire once 15-min cadence MSG data is supplied.,ناکافی وقتی ریزولوشن -- 15 منٹ کے تسلسل والا ڈیٹا درکار ہے,34.1605847255359,73.19202830806569
Abbottabad,20260622,cold_wave,False,0.44,1,0,Mean clear-sky night skin temp 11.4 C -- above cold-wave threshold.,سردی کی لہر کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260622,dust_storm,False,0.5,3,0,No dust-storm signature detected.,دھول کے طوفان کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260622,fog,False,0.6,3,0,IR3.9-IR10.8 = -1.3 K -- outside the fog signature range.,دھند کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260622,frost,False,0.5,3,0,Daytime frame -- frost check only applies after sunset.,دن کا وقت -- لاگو نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260622,hail,False,0.55,3,0,No hail-supporting glaciation signature detected.,اولوں کی کوئی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260622,heat_wave,False,0.44,1,0,Mean clear-sky skin temp 21.3 C -- below heat-wave persistence threshold.,گرمی کی لہر کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260622,heavy_rain,False,0.45,1,0,0/3 frames cold enough -- below persistence bar.,شدید بارش کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260622,residue_burning,False,0.5,3,0,"IR3.9-IR10.8 anomaly +8.3 K vs. regional background -- below the hot-spot threshold. DEMO MODE: this archive is Kharif sowing season, not Punjab's real Oct-Nov burning season -- this cannot be a real burning-season detection.",جلانے کی علامت نہیں۔ ڈیمو موڈ: یہ ڈیٹا اصل جلانے کے موسم (اکتوبر-نومبر) کا نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260622,thunderstorm,False,0.6,3,0,No overshooting-top signature detected.,کوئی شدید کنویکشن کی علامت نہیں,34.1605847255359,73.19202830806569
Abbottabad,20260622,uv_index,False,0.5,3,0,Clear-sky/high-sun UV proxy conditions not met.,UV کی سطح زیادہ ہونے کی علامت نہیں,34.1605847255359,73.19202830806569
