latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
23.67287,77.7573,333.07,0.39,0.36,2023-11-06,754,N,VIIRS,n,2,306.09,2.03,D,0
23.8842,75.89731,342.81,0.44,0.38,2023-11-06,754,N,VIIRS,n,2,304.49,6.63,D,0
23.91014,77.71269,334.69,0.39,0.36,2023-11-06,754,N,VIIRS,n,2,306.79,1.94,D,0
23.92062,76.85183,334.89,0.41,0.37,2023-11-06,754,N,VIIRS,l,2,305.27,1.38,D,0
24.06399,75.82677,339.48,0.44,0.39,2023-11-06,754,N,VIIRS,n,2,305.58,3.73,D,0
24.06473,75.83108,331.42,0.44,0.39,2023-11-06,754,N,VIIRS,n,2,302.91,3.73,D,0
24.26338,77.12632,332.69,0.4,0.37,2023-11-06,754,N,VIIRS,n,2,306.19,2.11,D,0
24.2757,77.51339,342.66,0.39,0.36,2023-11-06,754,N,VIIRS,n,2,307.92,4,D,0
24.30162,77.51255,343.66,0.39,0.36,2023-11-06,754,N,VIIRS,n,2,307.1,6.64,D,0
24.31437,77.50614,333.54,0.39,0.36,2023-11-06,754,N,VIIRS,n,2,306.8,2.18,D,0
24.32674,77.47591,339,0.39,0.37,2023-11-06,754,N,VIIRS,l,2,309.01,4.97,D,0
24.37292,77.46311,334.52,0.39,0.37,2023-11-06,754,N,VIIRS,n,2,304.43,6.04,D,0
24.50337,77.71184,339.32,0.39,0.36,2023-11-06,754,N,VIIRS,n,2,304.25,3.49,D,0
24.5067,77.7112,340.02,0.39,0.36,2023-11-06,754,N,VIIRS,n,2,305.41,3.84,D,0
24.51305,77.72973,331.93,0.39,0.36,2023-11-06,754,N,VIIRS,l,2,305.62,5.17,D,0
23.71175,70.89169,331.18,0.55,0.51,2023-11-06,755,N,VIIRS,n,2,303.27,2.6,D,0
24.08023,69.33775,342.48,0.34,0.56,2023-11-06,755,N,VIIRS,n,2,308.16,2.47,D,0
24.08095,69.34103,339.26,0.34,0.56,2023-11-06,755,N,VIIRS,n,2,306.7,2.47,D,0
24.0853,69.33646,347.27,0.34,0.56,2023-11-06,755,N,VIIRS,n,2,306.37,3.88,D,0
24.5358,77.74981,335.61,0.39,0.36,2023-11-06,755,N,VIIRS,n,2,305.46,2.06,D,0
24.56602,77.48669,335.7,0.39,0.36,2023-11-06,755,N,VIIRS,n,2,303.18,4.14,D,0
24.60637,77.47096,335,0.39,0.36,2023-11-06,755,N,VIIRS,l,2,305.13,5.39,D,0
24.60641,77.15005,340.97,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,307.65,5.04,D,0
24.61577,77.46519,337.65,0.39,0.36,2023-11-06,755,N,VIIRS,n,2,304.11,2.76,D,0
24.62621,77.63788,336.34,0.39,0.36,2023-11-06,755,N,VIIRS,n,2,308.09,1.46,D,0
24.65988,77.17225,335.94,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,304.03,2.95,D,0
24.68249,75.13492,335.83,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,302.18,1.96,D,0
24.68329,75.13946,349.12,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,303.16,3.12,D,0
24.68529,75.12964,350.63,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,304.18,14.74,D,0
24.68609,75.13418,356.74,0.46,0.39,2023-11-06,755,N,VIIRS,l,2,304.89,14.74,D,0
24.68689,75.13872,350.38,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,304.56,7.36,D,0
24.68809,75.12435,354.64,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,304.76,7.97,D,0
24.68889,75.12889,355.95,0.46,0.39,2023-11-06,755,N,VIIRS,l,2,305.23,14.74,D,0
24.68969,75.13342,356,0.46,0.39,2023-11-06,755,N,VIIRS,l,2,305.86,14.74,D,0
24.69049,75.13797,349.98,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,304.21,7.36,D,0
24.69169,75.12358,345.99,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,303.95,3.63,D,0
24.69249,75.12814,357.24,0.46,0.39,2023-11-06,755,N,VIIRS,l,2,305.29,8.33,D,0
24.69329,75.13268,351.71,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,303.95,8.33,D,0
24.69529,75.12282,346.48,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,302.05,3.63,D,0
24.69608,75.12737,335.06,0.46,0.39,2023-11-06,755,N,VIIRS,n,2,303.7,8.33,D,0
24.77721,77.12125,346.64,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,308.41,4.14,D,0
24.78665,77.11539,344.93,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,306.27,6.15,D,0
24.8206,77.83376,335.05,0.39,0.36,2023-11-06,755,N,VIIRS,n,2,307.38,2.09,D,0
24.83232,68.05653,337.13,0.39,0.59,2023-11-06,755,N,VIIRS,n,2,300.04,2.37,D,0
24.83315,68.05576,336,0.39,0.59,2023-11-06,755,N,VIIRS,n,2,300.01,2.34,D,0
24.85442,77.70904,334.11,0.39,0.36,2023-11-06,755,N,VIIRS,n,2,305.74,1.85,D,0
24.89498,76.11611,336.59,0.42,0.38,2023-11-06,755,N,VIIRS,n,2,302.4,1.68,D,0
24.94297,76.28262,330.56,0.42,0.38,2023-11-06,755,N,VIIRS,n,2,302.55,2.25,D,0
24.95551,76.10458,333.41,0.42,0.38,2023-11-06,755,N,VIIRS,n,2,304.33,2.45,D,0
24.96345,77.01711,336.1,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,305.05,1.88,D,0
24.9658,76.96784,331.25,0.4,0.37,2023-11-06,755,N,VIIRS,l,2,306.24,2.02,D,0
24.96625,72.90356,338.66,0.4,0.44,2023-11-06,755,N,VIIRS,n,2,302.66,1.94,D,0
24.98471,76.19315,336.6,0.42,0.38,2023-11-06,755,N,VIIRS,n,2,305.13,3.65,D,0
25.00475,77.20718,332.29,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,305.72,1.37,D,0
25.02493,76.88272,335.01,0.4,0.37,2023-11-06,755,N,VIIRS,l,2,305.44,5,D,0
25.02943,76.16265,336.64,0.42,0.38,2023-11-06,755,N,VIIRS,n,2,301.95,3.34,D,0
25.03109,76.16283,336.75,0.42,0.38,2023-11-06,755,N,VIIRS,n,2,301.34,3.13,D,0
25.06939,77.22279,339.22,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,306.83,5.17,D,0
25.08298,76.65737,332.64,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,305.18,1.21,D,0
25.10955,76.94806,340.51,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,313.51,23.06,D,0
25.13485,76.97569,333.63,0.4,0.37,2023-11-06,755,N,VIIRS,l,2,305.29,3.48,D,0
25.13918,76.11588,336.08,0.42,0.38,2023-11-06,755,N,VIIRS,n,2,297.63,3.99,D,0
25.14023,75.91216,336,0.43,0.38,2023-11-06,755,N,VIIRS,n,2,301.36,2.72,D,0
25.14175,76.95396,334.38,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,306.93,2.86,D,0
25.14238,76.95792,336.06,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,307.89,4.85,D,0
25.15777,77.67178,332.57,0.39,0.36,2023-11-06,755,N,VIIRS,n,2,303.65,1.41,D,0
25.15809,77.07671,333.19,0.4,0.37,2023-11-06,755,N,VIIRS,l,2,305.72,2.09,D,0
25.17244,75.97523,332.19,0.43,0.38,2023-11-06,755,N,VIIRS,n,2,303.05,1.79,D,0
25.1902,75.91064,335.16,0.43,0.38,2023-11-06,755,N,VIIRS,n,2,301.46,4.29,D,0
25.19079,76.73948,333.8,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,302.61,1.66,D,0
25.19327,72.51409,343.4,0.41,0.45,2023-11-06,755,N,VIIRS,n,2,307.27,4.99,D,0
25.22056,76.72945,332.36,0.4,0.37,2023-11-06,755,N,VIIRS,l,2,304.15,2.42,D,0
25.25138,77.09096,332.88,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,304.4,1.93,D,0
25.31489,76.96108,332.21,0.4,0.37,2023-11-06,755,N,VIIRS,l,2,306.72,1.71,D,0
25.32268,75.66557,331.44,0.43,0.38,2023-11-06,755,N,VIIRS,n,2,302.86,2.42,D,0
25.34932,75.67336,333.87,0.43,0.38,2023-11-06,755,N,VIIRS,n,2,301.72,2.96,D,0
25.36558,75.8112,331.35,0.43,0.38,2023-11-06,755,N,VIIRS,l,2,304.35,2.42,D,0
25.37823,76.85551,337.23,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,304.98,2.92,D,0
25.39967,68.56636,332.63,0.35,0.57,2023-11-06,755,N,VIIRS,n,2,298.62,1.31,D,2
25.39974,68.56735,331.05,0.35,0.57,2023-11-06,755,N,VIIRS,n,2,298.75,1.08,D,2
25.40088,76.88784,345.55,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,307.67,12.79,D,0
25.40153,76.8918,332.69,0.4,0.37,2023-11-06,755,N,VIIRS,l,2,304.53,3.26,D,0
25.41373,76.64688,335.44,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,304.92,3.18,D,0
25.41438,76.65088,335.73,0.4,0.37,2023-11-06,755,N,VIIRS,n,2,303.63,2.47,D,0
25.43436,75.70522,334.18,0.43,0.38,2023-11-06,755,N,VIIRS,n,2,303.35,1.31,D,0
25.43545,76.63013,339.43,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,301.12,8.34,D,0
25.43598,76.63046,338.19,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,301.36,8.35,D,0
25.43737,76.61777,335.9,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,299.81,32.56,D,0
25.45296,76.60638,334.84,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,299.83,3.64,D,0
25.45363,76.61039,334.63,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,300.25,11.75,D,0
25.45635,76.6057,336.76,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,299.22,3.64,D,0
25.45701,76.60971,351.28,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,303.67,11.75,D,0
25.45834,76.61773,332.39,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,298.01,1.51,D,0
25.46709,76.08584,332.53,0.42,0.38,2023-11-06,755,N,VIIRS,n,2,298.05,2.17,D,0
25.46849,76.61569,334.93,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,299.86,2.37,D,0
25.47607,76.57688,345.52,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,296.13,4.82,D,0
25.4774,76.58491,347.68,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,299.82,9.01,D,0
25.47806,76.58893,336.77,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,296.63,6.52,D,0
25.48145,76.58825,346.91,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,299.5,6.52,D,0
25.48417,76.58356,342.43,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,300.16,6.13,D,0
25.48483,76.58757,343.44,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,304.6,17.63,D,0
25.48491,76.5668,333.51,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,297.78,4.13,D,0
25.48549,76.59159,338.61,0.41,0.37,2023-11-06,755,N,VIIRS,n,2,306.25,17.63,D,0
