latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.33768,75.31678,335.63,0.39,0.44,2024-10-16,826,N,VIIRS,l,2,306.52,2.63,D,0
29.33814,75.32084,341.55,0.39,0.44,2024-10-16,826,N,VIIRS,n,2,305.81,4.05,D,0
29.34302,75.25552,345.18,0.39,0.44,2024-10-16,826,N,VIIRS,n,2,305.43,7.81,D,0
29.38493,75.41487,341.95,0.4,0.44,2024-10-16,826,N,VIIRS,n,2,306.58,7.26,D,0
29.47102,75.49174,345.26,0.4,0.44,2024-10-16,826,N,VIIRS,n,2,309.18,6.78,D,0
29.47223,75.49094,342.46,0.4,0.44,2024-10-16,826,N,VIIRS,n,2,308.66,5.82,D,0
29.47361,70.42958,346.48,0.39,0.36,2024-10-16,826,N,VIIRS,n,2,303.94,4.1,D,0
29.47953,70.39972,347.09,0.39,0.36,2024-10-16,826,N,VIIRS,n,2,305.28,5.61,D,0
29.53509,74.48664,335.04,0.53,0.42,2024-10-16,826,N,VIIRS,n,2,299.49,2.95,D,0
29.78227,74.35384,338.99,0.53,0.42,2024-10-16,826,N,VIIRS,n,2,310.59,2.32,D,0
29.83158,70.47444,336.66,0.39,0.36,2024-10-16,826,N,VIIRS,l,2,307.48,2.09,D,0
30.0398,72.73346,346.82,0.45,0.39,2024-10-16,826,N,VIIRS,n,2,304.83,6.95,D,0
30.04535,73.34363,342.01,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,304.92,4.96,D,0
30.0921,73.41743,342.85,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,305.53,5.74,D,0
30.094,73.41531,332.94,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,303.71,3.6,D,0
30.0946,73.42033,330.91,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,302.98,4.32,D,0
30.10229,73.29723,335.36,0.48,0.4,2024-10-16,826,N,VIIRS,l,2,310.27,5.9,D,0
30.14294,72.90587,335.73,0.46,0.39,2024-10-16,826,N,VIIRS,n,2,307.14,2.25,D,0
30.18117,73.31177,338.08,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,307.81,3.72,D,0
30.18251,73.3096,338.12,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,309.03,2.58,D,0
30.18899,70.6329,335.21,0.39,0.36,2024-10-16,826,N,VIIRS,l,2,308.02,4.27,D,0
30.19897,73.30383,338.3,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,306.85,3.02,D,0
30.22016,72.77861,334.25,0.45,0.39,2024-10-16,826,N,VIIRS,n,2,306.23,2.87,D,0
30.22214,72.7765,336.85,0.45,0.39,2024-10-16,826,N,VIIRS,n,2,306.66,3.69,D,0
30.23153,73.14266,335.79,0.47,0.4,2024-10-16,826,N,VIIRS,n,2,308.58,4.41,D,0
30.24681,70.67654,336.94,0.39,0.37,2024-10-16,826,N,VIIRS,n,2,306.25,6.26,D,0
30.25335,70.65011,338.57,0.39,0.36,2024-10-16,826,N,VIIRS,n,2,307.29,2.57,D,0
30.25628,70.09156,344.32,0.39,0.36,2024-10-16,826,N,VIIRS,n,2,310,7.18,D,0
30.2567,70.64948,340.52,0.39,0.36,2024-10-16,826,N,VIIRS,n,2,307.44,5.32,D,0
30.25712,70.62842,349.17,0.39,0.36,2024-10-16,826,N,VIIRS,n,2,313.9,13.41,D,0
30.25848,70.6292,343.99,0.39,0.36,2024-10-16,826,N,VIIRS,l,2,316.82,22.66,D,0
30.28176,72.86045,334.05,0.46,0.39,2024-10-16,826,N,VIIRS,n,2,307.45,3.68,D,0
30.31253,73.35405,344.64,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,307.1,4.06,D,0
30.32097,73.42454,338.41,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,306.67,4.84,D,0
30.32543,73.59797,334.05,0.49,0.4,2024-10-16,826,N,VIIRS,n,2,306.78,2.63,D,0
30.3275,70.67923,333.86,0.39,0.37,2024-10-16,826,N,VIIRS,l,2,307.4,4.48,D,0
30.33246,70.66567,337.33,0.39,0.37,2024-10-16,826,N,VIIRS,n,2,310.91,8.13,D,0
30.33362,70.67386,341.03,0.39,0.37,2024-10-16,826,N,VIIRS,n,2,309.2,3.96,D,0
30.33901,70.6392,367,0.39,0.36,2024-10-16,826,N,VIIRS,h,2,311.38,9.06,D,0
30.33949,73.42159,346.52,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,307.43,7.18,D,0
30.34586,71.98901,338.19,0.43,0.38,2024-10-16,826,N,VIIRS,l,2,310.96,1.98,D,0
30.34789,70.62911,338.12,0.39,0.36,2024-10-16,826,N,VIIRS,l,2,312.22,2.58,D,0
30.34934,71.9884,350.5,0.43,0.38,2024-10-16,826,N,VIIRS,n,2,307.29,8.13,D,0
30.35505,72.91357,336.85,0.46,0.39,2024-10-16,826,N,VIIRS,l,2,307.91,7.09,D,0
30.359,70.70699,337.73,0.4,0.37,2024-10-16,826,N,VIIRS,l,2,309.57,2.13,D,0
30.36596,73.51575,334.48,0.49,0.4,2024-10-16,826,N,VIIRS,l,2,307.77,4.67,D,0
30.39801,73.3148,336.09,0.48,0.4,2024-10-16,826,N,VIIRS,l,2,309.08,3.4,D,0
30.4001,73.31658,339.01,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,307.71,2.98,D,0
30.40944,73.5611,335.98,0.49,0.4,2024-10-16,826,N,VIIRS,l,2,307.75,3.64,D,0
30.41884,71.72587,335.83,0.42,0.38,2024-10-16,826,N,VIIRS,l,2,309.6,3.52,D,0
30.42229,71.72527,347.12,0.42,0.38,2024-10-16,826,N,VIIRS,n,2,305.31,9.09,D,0
30.43695,73.63039,344.85,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,309.1,5.97,D,0
30.43739,73.63276,335.04,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,307.98,3.92,D,0
30.44464,73.50039,335.51,0.49,0.4,2024-10-16,826,N,VIIRS,n,2,308.06,2.14,D,0
30.44923,73.34965,336.45,0.48,0.4,2024-10-16,826,N,VIIRS,n,2,306.18,3.05,D,0
30.46216,73.36299,338.54,0.48,0.4,2024-10-16,826,N,VIIRS,l,2,311.08,8.66,D,0
30.48421,72.20059,335.4,0.43,0.38,2024-10-16,826,N,VIIRS,n,2,307,2.67,D,0
30.48832,73.80628,335.13,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,304.92,8.2,D,0
30.49112,72.31105,333.92,0.44,0.38,2024-10-16,826,N,VIIRS,l,2,308.25,3.63,D,0
30.54507,72.14384,338.94,0.43,0.38,2024-10-16,826,N,VIIRS,n,2,306.52,4.87,D,0
30.55118,72.357,337.86,0.44,0.38,2024-10-16,826,N,VIIRS,n,2,308.03,2.19,D,0
30.56138,73.74112,334.83,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,301.67,5.07,D,0
30.56911,72.90741,335.86,0.46,0.39,2024-10-16,826,N,VIIRS,n,2,306.29,3.85,D,0
30.58023,73.80581,335.01,0.51,0.41,2024-10-16,826,N,VIIRS,n,2,304.7,4.64,D,0
30.5942,73.99509,346.07,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,309.88,11.11,D,0
30.59512,73.41656,336.24,0.49,0.4,2024-10-16,826,N,VIIRS,l,2,309.95,7.83,D,0
30.59802,73.99451,340.45,0.52,0.41,2024-10-16,826,N,VIIRS,n,2,307.92,11.11,D,0
