stamp,date,local_hour,lat,lon,night_fog_diff,nfd_local_bg,nfd_anomaly,cloud_proxy,label_real_fire_nearby
20231103_1212,20231103,17,35.5,62.0,8.34,10.602921599999998,-2.2629215999999985,0.263,False
20231108_1212,20231108,17,21.0,69.25,-3.359,1.452887058823527,-4.811887058823527,0.024,False
20231101_1212,20231101,17,30.0,71.75,-0.242,1.1526833013435671,-1.394683301343567,0.227,True
20231105_0212,20231105,7,38.25,70.5,1.056,6.5567607655502345,-5.500760765550234,0.334,False
20231106_1212,20231106,17,39.0,72.0,12.115,12.060696356275306,0.054303643724693984,1.0,False
20231107_0212,20231107,7,27.5,68.75,16.236,13.127147200000001,3.1088527999999993,0.217,True
20231108_0212,20231108,7,20.75,70.5,5.007,9.168777500000033,-4.161777500000033,0.022,False
20231108_0212,20231108,7,34.75,56.5,-5.963,-4.1296105263157905,-1.8333894736842096,0.162,False
20231103_1212,20231103,17,26.25,66.25,20.738,8.396040000000044,12.341959999999956,0.732,True
20231114_0212,20231114,7,36.5,65.0,-6.324,-3.4081552000000013,-2.9158447999999986,0.255,False
20231107_0212,20231107,7,34.5,56.5,-4.972,-3.751547368421053,-1.2204526315789472,0.187,False
20231106_1212,20231106,17,21.5,71.0,6.372,2.546772631578941,3.825227368421059,0.263,False
20231101_1212,20231101,17,28.0,68.0,-3.379,3.2470480000000097,-6.62604800000001,0.008,True
20231112_1212,20231112,17,30.25,72.25,-8.372,-7.156036247334756,-1.2159637526652443,0.063,True
20231110_1212,20231110,17,20.5,69.5,-0.562,-2.316992000000002,1.754992000000002,0.081,False
20231102_0212,20231102,7,21.25,73.75,7.422,8.432395104895091,-1.0103951048950917,0.084,False
20231112_0212,20231112,7,31.5,66.5,-4.603,-2.071926399999999,-2.531073600000001,0.284,False
20231115_0212,20231115,7,32.25,56.0,-3.109,-3.2183105882352936,0.1093105882352936,0.247,False
20231107_0212,20231107,7,39.25,66.5,3.325,5.47764,-2.15264,0.736,False
20231113_1212,20231113,17,31.5,65.5,-3.548,-1.9333167999999994,-1.6146832000000007,0.011,False
20231103_1212,20231103,17,37.5,69.75,-6.401,-4.466892531876137,-1.9341074681238624,0.155,False
20231111_0212,20231111,7,21.75,61.25,-4.292,-4.328105999999999,0.036105999999999305,0.0,False
20231113_1212,20231113,17,27.5,61.0,-1.401,1.8640608000000014,-3.2650608000000014,0.0,False
20231107_1212,20231107,17,36.75,68.0,14.832,8.246285024154588,6.585714975845413,0.651,False
20231109_1212,20231109,17,29.25,62.0,-0.52,-0.35174239999999957,-0.16825760000000045,0.0,True
