point_id,district,ndvi_peak_value,ndvi_peak_month,ndvi_trough_value,ndvi_trough_month,ndvi_green_up_slope,ndvi_senescence_slope,ndvi_annual_mean,ndvi_annual_std,ndwi_peak_value,ndwi_peak_month,ndwi_trough_value,ndwi_trough_month,ndwi_green_up_slope,ndwi_senescence_slope,ndwi_annual_mean,ndwi_annual_std,evi_peak_value,evi_peak_month,evi_trough_value,evi_trough_month,evi_green_up_slope,evi_senescence_slope,evi_annual_mean,evi_annual_std
0,Khuzdar,0.7752988047808765,0,0.29809220985691576,7,,-0.08094229251894913,0.4606480252339516,0.15241068379254977,-0.33852459016393444,7,-0.8793757908055673,0,0.020710713363777222,-0.04329943483394046,-0.5063253633401237,0.15842792347414075,1.240754909461872,0,0.6050338818973863,7,,-0.11607104746493709,0.8733197021064699,0.2224315340941329
1,Khuzdar,0.2868473231989425,9,0.09674374705049552,2,0.03853193593117878,-0.032080432122877665,0.1748400756662122,0.07175823181981932,-0.19185766949831703,7,-0.40658299786881363,0,0.013244370367580499,-0.053690459883224025,-0.277070138158503,0.06699539726291036,0.5930582126264007,9,0.16530125145142563,2,0.07718135219673888,-0.06635042229750293,0.34860410559898186,0.14465984665072942
2,Khuzdar,0.29168180167090446,6,0.1912320483749055,10,0.015653189697432984,-0.020200961462717677,0.2354839351364609,0.024986682560423388,-0.3062821833161689,3,-0.36980410893454374,1,0.013300979668175394,-0.011032535492239,-0.33076719040613495,0.018397980498089227,0.6325823223570191,6,0.36352896098090554,10,0.04148921607533814,-0.05345541686327369,0.477443273142988,0.06806407259239615
3,Khuzdar,0.39109113199836537,5,0.07281553398058252,3,0.0712121917261528,-0.0890910942010904,0.1750119872220582,0.0913320818153805,-0.1400147383935151,3,-0.4515991471215352,5,0.03755494609250997,-0.07479397725866004,-0.2688109021334079,0.0772954252655228,0.8692098092643051,5,0.2219543327187633,2,0.15057782088195246,-0.2005255088187425,0.38610947301596243,0.2003747122610877
4,Khuzdar,0.7064336106138781,4,0.04669382638671263,7,0.0864555530978347,-0.17567917344547326,0.2789458620365666,0.21281211250639168,-0.1617391304347826,7,-0.6930631007104053,4,0.1013471514500785,-0.03532457043393002,-0.35485383104464646,0.16662617053629092,1.6113459506196561,4,0.0878227042319934,7,0.19765985577427858,-0.4321179832495637,0.5926788866758604,0.5044072958319107
5,Khuzdar,0.8576647273711271,3,0.10526315789473684,7,0.1631747256662439,-0.17794289757391732,0.40406141630556175,0.2699191348156873,-0.20149253731343283,7,-0.8382648279555496,3,0.06276994872284065,-0.061895888139469786,-0.4389668792427483,0.20043423237362268,1.8755994982660666,4,0.21793201468672274,7,0.286725179941159,-0.5419776279782926,0.8690273035167245,0.6661501711054726
6,Khuzdar,0.6811909160056503,0,0.2089489235964542,5,,-0.055752193258092074,0.5397180405432357,0.12798177937822824,-0.28028609745194455,5,-0.6405654027372673,1,0.07601473037304467,-0.09821650083358117,-0.5475544405827213,0.09514509208898692,1.7511173184357542,0,0.4235112936344969,5,,-0.19823646154802388,1.2821522531657987,0.3857297638314216
7,Khuzdar,0.628956927867151,4,0.041071314153905296,8,0.12781064095207798,-0.141779181950332,0.18881807494041222,0.20234092682629637,-0.12864684634620727,8,-0.6234807344194466,4,0.04946090639375311,-0.012154133985884294,-0.26856650379236746,0.16413887877568767,1.4780487804878049,4,0.09530748186035447,8,0.31653543401849793,-0.34273041945652744,0.4160968454414639,0.47935210997000405
8,Khuzdar,0.4495632813837986,9,0.12766910556965805,6,0.0647685333462158,-0.03842560171820444,0.2469910568193422,0.1165340551609734,-0.22956691631390427,6,-0.509810916874777,9,0.011367005087374196,-0.06791541605099641,-0.3519607706186439,0.09539009928215854,0.8741258741258742,9,0.24329861703943997,6,0.1346651789207049,-0.07288787302875299,0.4636597771377006,0.21972002953012656
9,Khuzdar,0.45003996802557955,10,0.08943089430894309,6,0.039611541499690504,-0.028261910245814648,0.22450768241860244,0.13145753430901827,-0.17894736842105263,6,-0.48142098815843204,10,0.023863896628393406,-0.0648918405133142,-0.30428546718823446,0.10403859594613388,1.0394645741980153,10,0.17698098029075446,6,0.11057415618083632,-0.07881542291144117,0.47100338182287266,0.3060835901389133
