point_id,district,ndvi_peak_value,ndvi_peak_month,ndvi_trough_value,ndvi_trough_month,ndvi_green_up_slope,ndvi_senescence_slope,ndvi_annual_mean,ndvi_annual_std,ndwi_peak_value,ndwi_peak_month,ndwi_trough_value,ndwi_trough_month,ndwi_green_up_slope,ndwi_senescence_slope,ndwi_annual_mean,ndwi_annual_std,evi_peak_value,evi_peak_month,evi_trough_value,evi_trough_month,evi_green_up_slope,evi_senescence_slope,evi_annual_mean,evi_annual_std
0,Khuzdar,0.9318385650224216,3,0.28670756646216766,6,0.09903309686443813,-0.14368037540038636,0.6744940809981778,0.20456307178468133,-0.3316402116402116,6,-0.8510455456889143,3,0.13520010989364598,-0.10068448611680603,-0.659144304599638,0.1512857815476207,2.690754425158962,8,0.5774537666295976,6,0.671744436559805,-0.29680133276113474,1.4595112959359053,0.6328449931907909
1,Khuzdar,0.5417348608837971,9,0.06872263468494194,2,0.1254789187334514,-0.028383576238651804,0.2391611080772077,0.15607752155094998,-0.16400580551523947,2,-0.5437842484151714,10,0.06020844995279787,-0.029276283726388186,-0.32250964263802706,0.12463476506810937,1.1230582742210649,10,0.11275612193903048,2,0.14647782493174585,-0.14346397455332582,0.47876721947279327,0.31235791661250634
2,Khuzdar,0.31443891229414017,4,0.11614730878186968,7,0.03487314737390082,-0.059228254939274645,0.18859121038478088,0.05802850587127216,-0.2266500622665006,7,-0.39116335630320226,4,0.02724177286433781,-0.014505982735091674,-0.29265622077390674,0.04808275708870713,0.6049664726254513,4,0.23098434004474272,6,0.05854283562196322,-0.11244220870358657,0.38157236096455577,0.12509672487444928
3,Khuzdar,0.32140727489564697,10,0.08080945266874916,1,0.016307762999800912,-0.030611271726669054,0.17378224794543584,0.08992653563332534,-0.19310587407667956,2,-0.3645320197044335,10,0.0008333114244830631,-0.013943898758137238,-0.2638337524167904,0.05787766300631868,0.7571128508688181,9,0.15887167494884535,3,0.08582013344755522,-0.05627537820515446,0.3746817882214215,0.22834201775904087
4,Khuzdar,0.28882763373244896,10,0.05321507760532151,8,0.055546545947341854,-0.05502533514051672,0.15343033070212958,0.0730284413695211,-0.1511663132384126,8,-0.3622871710825822,10,0.024735580417744134,-0.050890864958520694,-0.2583047420913074,0.061264153823351854,0.5784624939617694,10,0.11944755505785741,8,0.10818217692696874,-0.11965385658245055,0.29282525514960117,0.14649691444464588
5,Khuzdar,0.43928035982008995,11,0.08424908424908426,6,0.07611559354812023,,0.17585904890256712,0.10940200444191991,-0.13002535313292285,8,-0.453444360333081,11,0.01809891570010591,-0.07335970048070367,-0.2507170470458981,0.10025853357557021,0.9291263675281434,11,0.17095832227236527,6,0.16483371903657637,,0.34782772060484707,0.22360373210685341
6,Khuzdar,0.7388359788359788,1,0.5496229875687793,4,0.01110135464745395,-0.05366102455003948,0.6523293195983338,0.05536538937627524,-0.5564425340292702,4,-0.6836065573770492,1,0.022313845614649924,-0.029399040085990074,-0.6207742615073586,0.036043991824919616,1.8540451895043732,10,1.24849550967503,4,0.11830208228888606,-0.025802030286267374,1.5830663656298867,0.2026343453230483
7,Khuzdar,0.1292115317818687,0,0.033003300330033,8,,-0.011809022545500253,0.07404745179392033,0.024856096756387096,-0.1195230998509687,8,-0.2499038831218762,0,0.011191936911997139,-0.015696618579526173,-0.17696875736323636,0.03683227481846523,0.24143302180685358,0,0.07620983106820779,8,,-0.02241991839933837,0.14806313257293474,0.04229589919612933
8,Khuzdar,0.6754632229084784,9,0.09160924199432509,2,0.1536835105037125,-0.04386399922218972,0.26087933842118827,0.21079170217293325,-0.2277182584909961,2,-0.6353671903544026,9,0.019137650518852866,-0.00497239326126242,-0.35819276198474354,0.15520810936223609,1.6422460866399708,9,0.15127175368139223,2,0.40728480190742933,-0.16650035491084228,0.5362621070145157,0.5058475689747134
9,Khuzdar,0.5017274472168906,4,0.07732513451191392,0,0.1041440674726255,-0.08551629831593781,0.2118507538132779,0.12614058560519517,-0.16298856687051316,8,-0.5107163545085924,4,0.056019193677275404,-0.03302903589052033,-0.2894487966782088,0.09971911762001417,1.1772653575932264,4,0.1468984321745058,11,0.2670196449809321,-0.22910495444155923,0.4521448103283004,0.2958511591688056
