district,date,hazard,hazard_flag,hazard_confidence,crop,crop_stage,vulnerability_weight,crop_weight,interim_confidence_multiplier,exposure_score_before_confidence_discount,exposure_score,agronomically_plausible,crop_mix_source,crop_mix_share_of_4crop_area,lat,lon
Sialkot,20260827,flood_risk,True,0.665,rice,flowering,0.9,0.3514,0.264,0.2103,0.0555,True,model_estimated_interim,0.35141631360943604,32.4719,74.5203
Gujrat,20260827,flood_risk,True,0.8231,rice,flowering,0.9,0.2738,0.264,0.2029,0.0536,True,model_estimated_interim,0.2738468203972793,32.7036,73.9032
Narowal,20260827,flood_risk,True,0.5816,rice,flowering,0.9,0.3283,0.264,0.1718,0.0454,True,model_estimated_interim,0.3282575811750626,32.2057,75.01
Islamabad Capital Territory,20260827,flood_risk,True,0.7685,rice,flowering,0.9,0.2232,0.264,0.1544,0.0408,True,model_estimated_interim,0.22316831805168902,33.6678,73.0965
Sialkot,20260720,hail,True,0.65,rice,vegetative,0.6,0.3514,0.264,0.1371,0.0362,True,model_estimated_interim,0.35141631360943604,32.424270516378186,74.52050975811137
Abbottabad,20260827,flood_risk,True,0.7346,rice,flowering,0.9,0.2012,0.264,0.133,0.0351,True,model_estimated_interim,0.20117213593703712,34.1315,73.2242
Jhelum,20260827,flood_risk,True,0.7292,rice,flowering,0.9,0.1964,0.264,0.1289,0.034,True,model_estimated_interim,0.19641130351919908,32.8434,73.2773
Gwadar,20260708,frost,True,0.52,cotton,flowering,0.9,0.1309,0.428,0.0613,0.0262,True,model_estimated_interim,0.1309104406534809,25.403053323845104,63.26325114763529
Hafizabad,20260712,hail,True,0.65,rice,establishment,0.4,0.366,0.264,0.0952,0.0251,True,model_estimated_interim,0.3659888695958485,31.985829168595675,73.4554526384932
Mansehra,20260828,hail,True,0.65,rice,flowering,0.9,0.1535,0.264,0.0898,0.0237,True,model_estimated_interim,0.15347764603997796,34.66967253689031,73.34549478620973
Sanghar,20260713,fog,True,0.75,cotton,flowering,0.3,0.2344,0.428,0.0527,0.0226,True,model_estimated_interim,0.23440340283302302,25.953402304996988,69.23325575602047
Gujranwala,20260623,uv_index,True,0.55,rice,establishment,0.4,0.388,0.264,0.0854,0.0225,True,model_estimated_interim,0.3880130453164007,32.15422178347083,74.12874209292401
Haripur,20260829,hail,True,0.65,rice,flowering,0.9,0.1451,0.264,0.0849,0.0224,True,model_estimated_interim,0.14514500066988298,34.056230397373064,72.86682900047666
