district,date,hazard,hazard_flag,hazard_confidence,crop,crop_stage,vulnerability_weight,crop_weight,interim_confidence_multiplier,exposure_score_before_confidence_discount,exposure_score,agronomically_plausible,crop_mix_source,crop_mix_share_of_4crop_area,lat,lon
Sialkot,20260720,hail,True,0.65,rice,vegetative,0.6,0.3514,0.264,0.1371,0.0362,True,model_estimated_interim,0.35141631360943604,32.424270516378186,74.52050975811137
Gwadar,20260708,frost,True,0.52,cotton,flowering,0.9,0.1309,0.428,0.0613,0.0262,True,model_estimated_interim,0.1309104406534809,25.403053323845104,63.26325114763529
Hafizabad,20260712,hail,True,0.65,rice,establishment,0.4,0.366,0.264,0.0952,0.0251,True,model_estimated_interim,0.3659888695958485,31.985829168595675,73.4554526384932
Sanghar,20260713,fog,True,0.75,cotton,flowering,0.3,0.2344,0.428,0.0527,0.0226,True,model_estimated_interim,0.23440340283302302,25.953402304996988,69.23325575602047
Gujranwala,20260623,uv_index,True,0.55,rice,establishment,0.4,0.388,0.264,0.0854,0.0225,True,model_estimated_interim,0.3880130453164007,32.15422178347083,74.12874209292401
Awaran,20260708,frost,True,0.52,cotton,flowering,0.9,0.1112,0.428,0.0521,0.0223,True,model_estimated_interim,0.11122275479683752,26.255203421584145,65.47340353192104
Awaran,20260714,frost,True,0.52,cotton,flowering,0.9,0.1112,0.428,0.0521,0.0223,True,model_estimated_interim,0.11122275479683752,26.255203421584145,65.47340353192104
Sanghar,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.2344,0.428,0.0516,0.0221,True,model_estimated_interim,0.23440340283302302,25.953402304996988,69.23325575602047
Sukkur,20260712,fog,True,0.75,cotton,flowering,0.3,0.2245,0.428,0.0505,0.0216,True,model_estimated_interim,0.2244644022323676,27.521510752345886,69.11615993430854
Hafizabad,20260622,residue_burning,True,0.55,rice,establishment,0.4,0.366,0.264,0.0805,0.0213,True,model_estimated_interim,0.3659888695958485,31.985829168595675,73.4554526384932
Hafizabad,20260623,uv_index,True,0.55,rice,establishment,0.4,0.366,0.264,0.0805,0.0213,True,model_estimated_interim,0.3659888695958485,31.985829168595675,73.4554526384932
Gujranwala,20260715,frost,True,0.52,rice,vegetative,0.4,0.388,0.264,0.0807,0.0213,True,model_estimated_interim,0.3880130453164007,32.15422178347083,74.12874209292401
Sukkur,20260623,uv_index,True,0.55,cotton,vegetative,0.4,0.2245,0.428,0.0494,0.0211,True,model_estimated_interim,0.2244644022323676,27.521510752345886,69.11615993430854
